Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

IFD Design Rainfall Intensity (mm/h)
Issued:,23 May 2025
Location Label:,Brisbane
Requested coordinate:,Latitude,-27.4678,Longitude,153.0281
Nearest grid cell:,Latitude,27.4625 (S),Longitude,153.0375 (E)

,,Annual Exceedance Probability (AEP)
Duration,Duration in min,63.2%,50%,20%,10%,5%,2%,1%
1 min,1,158,179,244,287,329,384,426
2 min,2,131,149,204,242,280,331,369
3 min,3,123,139,191,226,261,307,343
4 min,4,118,133,182,215,247,290,323
5 min,5,113,127,174,205,236,276,306
10 min,10,92.6,105,142,168,192,223,247
15 min,15,78.6,88.9,121,142,163,189,210
20 min,20,68.3,77.3,105,124,142,165,183
25 min,25,60.6,68.6,93.5,110,126,147,163
30 min,30,54.6,61.8,84.3,99.4,114,133,148
45 min,45,42.4,48.0,65.7,77.7,89.4,105,117
1 hour,60,35.0,39.7,54.4,64.4,74.4,87.6,97.8
1.5 hour,90,26.5,30.0,41.2,49.0,56.7,67.2,75.3
2 hour,120,21.6,24.5,33.7,40.2,46.7,55.5,62.4
3 hour,180,16.2,18.4,25.4,30.4,35.4,42.3,47.7
4.5 hour,270,12.2,13.8,19.2,23.1,27.0,32.4,36.7
6 hour,360,10.0,11.4,15.9,19.1,22.4,26.9,30.6
9 hour,540,7.63,8.69,12.2,14.7,17.3,20.9,23.9
12 hour,720,6.31,7.21,10.2,12.3,14.5,17.6,20.2
18 hour,1080,4.85,5.56,7.94,9.67,11.5,14.0,16.0
24 hour,1440,4.02,4.63,6.67,8.16,9.70,11.9,13.7
30 hour,1800,3.47,4.02,5.83,7.15,8.52,10.5,12.1
36 hour,2160,3.08,3.57,5.21,6.41,7.66,9.44,10.9
48 hour,2880,2.53,2.94,4.34,5.37,6.44,7.97,9.22
72 hour,4320,1.89,2.21,3.30,4.10,4.94,6.14,7.14
96 hour,5760,1.51,1.77,2.66,3.31,4.00,4.99,5.81
120 hour,7200,1.26,1.48,2.21,2.76,3.33,4.16,4.85
144 hour,8640,1.08,1.26,1.88,2.34,2.83,3.52,4.12
168 hour,10080,0.943,1.10,1.62,2.02,2.43,3.02,3.54
